symbol,timestamp,datetime,direction,move_pct,low,high,rsi,bb_pct_b,zscore,volume_ratio,funding_rate,sma_slope_pct
ONGUSDT,1775214000000,2026-04-03 12:00,UP,15.463917525773196,0.09603,0.11088,61.548913043478265,1.0241920710425159,2.096768284170066,3.5537373413866753,5e-05,0.14696333265443465
ONGUSDT,1775217600000,2026-04-03 13:00,DOWN,19.51300132216836,0.09076,0.10847,60.57433443015253,0.5837043218091104,0.33481728723644133,2.0732484024467244,5e-05,0.36792062312727125
ONGUSDT,1775232000000,2026-04-03 17:00,UP,12.174994347727788,0.08846,0.09923,35.60528992878943,0.12259399154068759,-1.5096240338372482,3.0536991122848542,5e-05,-0.2544420907035602
ONGUSDT,1775260800000,2026-04-04 01:00,UP,20.87110064743967,0.08495,0.10268,57.77460770328109,0.5866093898612389,0.346437559444954,6.441526865356841,5e-05,-0.009378976746708952
ONGUSDT,1775264400000,2026-04-04 02:00,UP,17.35245220282626,0.09624,0.11294,53.456375838926185,0.7247774102582003,0.8991096410328012,1.1981614355937866,5e-05,-0.05906995400675116
ONGUSDT,1775268000000,2026-04-04 03:00,UP,13.723071082850907,0.10537,0.11983,66.7810831426392,0.6717012592989285,0.6868050371957146,0.8340440494242535,5e-05,0.25922624140109635
ONGUSDT,1775728800000,2026-04-09 11:00,UP,11.369782480893589,0.08505,0.09472,58.91812865497077,0.5887024681660021,0.3548098726640081,1.1057752647253118,5e-05,0.2597364434446529
ONGUSDT,1775779200000,2026-04-10 01:00,UP,10.409273716583868,0.08454,0.09334,23.23049001814887,0.035304675336088165,-1.8587812986556425,1.9887581408642325,5e-05,-0.0574712877630948
ETHWUSDT,1776441600000,2026-04-17 17:00,UP,62.59160559626914,0.3002,0.4881,51.707317073170664,0.6965599694938871,0.7862398779755457,0.7899078367288384,5e-05,0.09708819528257698
ETHWUSDT,1776445200000,2026-04-17 18:00,DOWN,16.24391493722778,0.3903,0.4537,75.04634779384502,0.6882404594721689,0.7529618378886762,1.633939175149888,5e-05,1.0047793879988034
ETHWUSDT,1776528000000,2026-04-18 17:00,UP,10.094043887147338,0.319,0.3512,72.98387096774199,1.5089564664306832,4.035825865722712,16.37356190842421,5e-05,0.0081277786701421
JTOUSDT,1775307600000,2026-04-04 14:00,UP,10.238272524199541,0.2686,0.2961,60.465116279069974,0.969979329320966,1.8799173172838544,2.1643811764060987,5e-05,0.062191118283794755
